epoch,loss,val_loss,val_vgg_class_categorical_accuracy,val_vgg_class_loss,val_vgg_class_top_k_categorical_accuracy,val_vgg_color_loss,vgg_class_categorical_accuracy,vgg_class_loss,vgg_class_top_k_categorical_accuracy,vgg_color_loss
0,3.5416943644399805,2.954776009985059,0.2936036955384661,2.95226186814577,0.6012748659954109,0.002514138236171156,0.2056418375637268,3.539120985311047,0.4738973405089688,0.002573378945382216
1,3.125523015894817,2.7559207432583697,0.32912957649143704,2.7536073673136983,0.647378833074598,0.0023133761657569574,0.27369728205229993,3.1231786973634037,0.5737179073400103,0.0023443184623879983
2,3.050950317258977,2.738253589199983,0.3471810103612413,2.736000424794462,0.6612265085254295,0.0022531631987626663,0.28979138112328773,3.048663598766383,0.5919551136788945,0.002286718751293664
3,3.00735098648018,2.8855555287454533,0.3493790540818409,2.8833161798829967,0.6596054505523659,0.0022393502224776545,0.2988805962934021,3.0051022382974817,0.6018466772972653,0.0022487480676076257
4,2.9874700277553545,2.8741794148963,0.35176942626458363,2.8718911075686373,0.6629299907608862,0.0022883058360268376,0.30487686115776164,2.985247793633292,0.6070522380114096,0.0022222335881057253
5,2.978658649157846,2.785228400626593,0.3503406974390282,2.7830121057323605,0.6613638853519772,0.002216296587494026,0.30913923276723365,2.976456711773711,0.6105089344902851,0.0022019369357094832
6,2.988179136040263,2.721255044083449,0.3685844605668834,2.719092328989423,0.6826299578393602,0.0021627117873010116,0.30946915502011085,2.985990408061983,0.6093927442186302,0.002188727461380499
7,2.9491219909826585,2.751459592645647,0.366963403411836,2.749293999077658,0.6829596652062545,0.002165592561243793,0.31579312385108677,2.9469540808784127,0.6170674530394834,0.002167910343803835
8,2.9390088868137365,2.8113130143558944,0.3634465337978744,2.8091560405274647,0.6794977452823363,0.002156974047442675,0.3184557892737972,2.9368528082029237,0.6192449388177236,0.0021560786572877187
9,2.9958266020130515,2.8341094925188997,0.36113858759462186,2.8319446699791446,0.673700406425195,0.0021648266843016213,0.31345206319133767,2.9936793961775487,0.6114842839942396,0.0021472063481731154
10,2.9647191628666207,2.664459559495324,0.3730354994447012,2.6623306604568375,0.6874656550195639,0.002128898341030907,0.31692040385749054,2.962583771805362,0.6164070542500789,0.0021353909775469323
11,2.986248910629361,2.8071372299118873,0.36575447985373666,2.805002137414308,0.681366082498275,0.0021350967494446625,0.315651728621897,2.984122158703104,0.6142373311454421,0.002126752030615942
12,2.998828168155305,2.722010387393299,0.3722112328551054,2.719893076771209,0.6910924267698112,0.0021173105001473535,0.3143492295067738,2.996704451547039,0.612431908797036,0.002123715900882764
13,2.947106403427473,2.7268724373139213,0.3758380052538701,2.724752792265012,0.6938399820488119,0.002119648194541136,0.32231005561662673,2.944999744984164,0.6222136831135616,0.0021066587547690875
14,2.965144078456358,2.795998782715387,0.3749313117857031,2.793901458692126,0.6903231117715939,0.0020973304614542616,0.3215138066589924,2.9630422547569064,0.6189161257366809,0.0021018232816218977
15,2.9739852926575767,2.7663459783727644,0.36927134899604924,2.7642672515882345,0.6848829533355761,0.00207872666696291,0.3208190294925771,2.971889147754486,0.6184315005255163,0.002096144702763664
